movie_title,bag_of_words
The Blood of Heroes ,action sci-fi sport battle blood splatter combat game showdown  
Code of Honor ,action gun mayor nightclub police vigilantism  
Driving Miss Daisy ,comedy drama family 1950s african american jewish old age widow  
Soul Food ,comedy drama 1990s family relationships food in title sister unity  
Rumble in the Bronx ,action comedy fight gang greed street gang wedding  
Far from Men ,drama war western algerian war based on short story hostage teacher title at the end  
Thank You for Smoking ,comedy drama cigarette smoking lobbyist political satire reporter tobacco industry  
Hostel: Part II ,horror american hostel slovakia torture train  
An Education ,drama 1960s age difference france loss of virginity oxford  
Shopgirl ,drama romance artist depression gloves photography slacker  
The Hotel New Hampshire ,comedy drama romance football hotel teenage girl terrorist wien  
Narc ,crime drama mystery thriller blood splatter cover up murder police shootout undercover  
Men with Brooms ,comedy drama romance sport championship coach curling marriage rural setting  
Witless Protection ,comedy crime fbi polo possum sheriff shotgun  
The Work and the Glory ,drama romance 1830s baptism intolerance mormon church sibling rivalry  
Extract ,comedy crime romance freak accident gigolo hit in the crotch nosy neighbor on the job injury  
Masked and Anonymous ,comedy drama music concert jail journalist revolution singer  
Alias Betty ,comedy crime drama romance thriller child criminal death depression novelist  
Code 46 ,drama romance sci-fi thriller genetics i.d. love sphinx totalitarian  
Outside Bet ,comedy nan  
Albert Nobbs ,drama 19th century hotel painter waiter woman pretending to be a man  
Black November ,action crime drama thriller color in title number in title two word title  
Ta Ra Rum Pum ,comedy family romance comeback family relationships marriage new york racer  
Persepolis ,animation biography drama war dream girl iran islamic revolution revolution  
The Hole ,adventure fantasy thriller basement family relationships hole no opening credits slow motion scene  
The Wave ,drama thriller autocracy based on real events dictatorship germany teacher  
The Neon Demon ,horror thriller beauty cannibalism fashion lesbian model  
Harry Brown ,action crime drama thriller bayonet death police self defense widower  
The Omega Code ,action adventure fantasy sci-fi thriller code evil false accusation megalomaniac torah  
Juno ,comedy drama romance adoption baby friend pregnancy school  
Pound of Flesh ,action thriller fighting hand to hand combat jujitsu kickboxing organ  
Diamonds Are Forever ,action adventure thriller cat diamond ford mustang james bond 007 yanked off bikini top  
The Godfather ,crime drama crime family mafia organized crime patriarch rise to power  
Flashdance ,drama music romance ballet school dance dancer overalls steel worker  
500 Days of Summer ,comedy drama romance friend greeting card office summer true love  
The Piano ,drama music romance adultery daughter male rear nudity new zealand piano  
Magic Mike ,comedy drama bank male nudity male objectification male stripper stripper  
Darkness Falls ,horror mystery thriller boy darkness light tooth tooth fairy  
Live and Let Die ,action adventure thriller british cards heroin murder tarot card  
My Dog Skip ,drama family sport 1940s dog mississippi puppy veteran  
"Definitely, Maybe ",comedy drama romance college daughter girl sex wisconsin  
Jumping the Broom ,comedy drama martha's vineyard mother older woman younger man relationship wedding weekend  
"Good Night, and Good Luck. ",biography drama history cbs expose fear paranoia reporter  
Capote ,biography crime drama book holcomb kansas kansas killer truman capote  
Desperado ,action crime thriller crushed by a car female frontal nudity female nudity female rear nudity one against many  
Fargo ,crime drama thriller anthology death insurance salesman minnesota police officer  
Logan's Run ,action adventure sci-fi cat computer cult film runner sanctuary  
The Man with the Golden Gun ,action adventure thriller assassin bikini girl in a bikini mission secret agent  
Action Jackson ,action comedy crime thriller murder power psychotronic tough cop union  
The Descent ,adventure horror thriller cave expedition friendship between women group of friends survival horror  
Michael Jordan to the Max ,documentary sport basketball basketball player character name in title chicago bulls imax  
Devil's Due ,horror mystery eiffel tower at night honeymoon implied insemination party taxi driver  
Flirting with Disaster ,comedy adoption armpit fetish mistaken identity new mexico overalls  
The Devil's Rejects ,crime horror escape police road trip sheriff texas  
Buffy the Vampire Slayer ,action drama fantasy romance action heroine coming of age destiny double life vampire  
Dope ,comedy crime drama african american geek hip hop party tomboy  
In Too Deep ,crime drama thriller cunnilingus oral sex police sex scene undercover  
House of 1000 Corpses ,horror actor playing multiple roles axe dark comedy masked man sadism  
Alien Zone ,horror affair child murderer mortician strangulation supernatural power  
A Serious Man ,comedy drama bar mitzvah jewish marital breakup nose job rabbi  
Get Low ,drama mystery funeral funeral home hermit party secret  
Warlock ,action fantasy horror thriller 17th century book death warlock witch hunter  
Beyond the Lights ,drama music domestic abuse public humiliation sex symbol singer suicide attempt  
A Single Man ,drama romance car accident male full back nudity practicing a suicide public nudity suicide contemplation  
The Last Temptation of Christ ,drama carpenter exorcism faith reference to jesus christ temptation  
Outside Providence ,comedy drama romance class cornwall connecticut dog friend pawtucket rhode island  
Bride & Prejudice ,comedy drama musical romance bollywood india jane austen london england travel  
Rabbit-Proof Fence ,adventure biography drama history aborigine based on true story colonialism fence half caste  
Who's Your Caddy? ,comedy sport 2000s golf caddy golf course golfer question mark in title  
Split Second ,action crime horror sci-fi thriller appearing from water breasts creature partner water  
Nikita ,action crime drama thriller assassin death female protagonist rogue training  
The Other Side of Heaven ,adventure biography drama 1950s idaho love missionary mormon  
Dark Angel ,action drama mystery sci-fi cat burglar female lead future mixed martial arts post apocalypse  
Veer-Zaara ,drama musical romance fair pakistan prison rescue stranded  
Redbelt ,drama sport bar debt fight instructor jujitsu  
Cyrus ,comedy drama romance 21 year old forename as title musician party rearview mirror  
A Dog of Flanders ,drama family artist box office flop dog drawing flanders  
Auto Focus ,biography crime drama friendship photography radio sex addict video  
Factory Girl ,biography drama andy warhol female nudity public nudity singer socialite  
We Need to Talk About Kevin ,drama thriller archery defiance mental illness psychopath toilet training  
The Christmas Candle ,drama family angel candle christmas miracle village  
The Mighty Macs ,drama sport basketball catholic coach college nun  
Losin' It ,comedy drama family apostrophe in title bare breasts friendship between men teen sex comedy two word title  
Mother and Child ,drama romance adoption baby girl lawyer sex  
March or Die ,adventure drama romance war arab bare chested male foreign legion french foreign legion morocco  
Les visiteurs ,comedy fantasy sci-fi distant past future time travel nobleman squire trapped in the past  
Somewhere ,comedy drama actor boredom luxury hotel party trip  
I Hope They Serve Beer in Hell ,comedy bachelor party bare butt loud sex sex standing up topless female nudity  
Chairman of the Board ,comedy box office flop company invention roommate surfer  
Hesher ,drama bully car car accident fire vomiting  
Dom Hemingway ,comedy crime drama male frontal nudity male nudity male rear nudity nudity sex scene  
Gerry ,adventure drama mystery desert friend friendship minimal dialogue water  
The Heart of Me ,drama romance 1930s car accident hospital marital rape painter  
Freeheld ,biography drama romance cancer gay bar lesbian kiss partner public hearing  
The Extra Man ,comedy co worker escort magazine teacher writer  
Hard to Be a God ,drama sci-fi fictional war hanging male full frontal nudity medieval times nudity  
Ca$h ,comedy crime thriller cash financial problem heist land rover mortgage  
Wah-Wah ,drama alcoholic alcoholic father stepmother swaziland unfaithful wife  
The Boondock Saints ,action crime thriller fbi fbi agent friend irish mafia  
Z Storm ,action crime nan  
Twixt ,comedy fantasy horror mystery ghost hotel murder stake what happened to epilogue  
Snow Queen ,adventure animation family 3d  
Alpha and Omega 4: The Legend of the Saw Toothed Cave ,action adventure animation comedy drama family fantasy thriller blindness cave spirit wolf wolf cub  
Pale Rider ,western gold miner preacher prospector sheriff  
Stargate: The Ark of Truth ,action adventure drama fantasy sci-fi 2000s evil god space opera stargate wormhole  
Dazed and Confused ,comedy football hazing high school last day of school pledge  
High School Musical 2 ,comedy drama family music musical romance 2000s basketball country club lifeguard talent show  
Two Lovers and a Bear ,drama romance nan  
Criminal Activities ,crime drama thriller african american gangster falling to death in over one's head murder surveillance  
Aimee & Jaguar ,biography drama romance war lesbian mother lesbian parent lesbian relationship lesbian romance lesbianism  
The Chumscrubber ,comedy drama chumscrubber death friend pills school  
Shade ,crime thriller bar strip club stripper texas hold 'em thong  
House at the End of the Street ,drama horror thriller brother sister relationship death of sister female protagonist mother daughter relationship murder  
Incendies ,drama mystery war brother sister relationship family relationships middle east mother son relationship twin brother and sister  
"Remember Me, My Love ",comedy drama romance box office hit dancer sex scene television underage sex  
Perrier's Bounty ,action comedy crime drama romance thriller burglary estranged father money neighbor thug  
Elite Squad ,action crime drama thriller brazil military police police rio de janeiro brazil slum  
Annabelle ,horror mystery horror movie prequel murder paranormal activity self sacrifice suicide  
Bran Nue Dae ,comedy drama musical australia journey love priest traveling  
Boyz n the Hood ,crime drama drugs escape football friend violence  
La Bamba ,biography drama music crash hispanic interracial relationship interracial romance racism  
The Four Seasons ,comedy drama directed by star friendship reference to isaac newton skinny dipping written and directed by cast member  
Dressed to Kill ,mystery romance thriller apartment elevator murder psychiatrist sunglasses  
The Adventures of Huck Finn ,adventure comedy drama family boy lesson mississippi river river slave  
Go ,comedy crime drug deal drugs sex sex on stairs strip club  
Friends with Money ,comedy drama romance friend friendship marital problem money problems nervous breakdown  
The Andromeda Strain ,sci-fi thriller alien baby new mexico satellite scientist  
Bats ,horror sci-fi thriller animal attack bat creature feature experiment mad scientist  
Nowhere in Africa ,biography drama breasts farm jew kenya tween girl  
Shame ,drama female frontal nudity female nudity male nudity sex addict sex addiction  
Layer Cake ,crime drama thriller cake cocaine drugs pills serbian  
The Work and the Glory II: American Zion ,drama western estrangement missouri mormon mormon church mormon temple  
The East ,drama thriller anarchist corporation greedy institution vomiting watching television  
A Home at the End of the World ,drama romance hand job hugging long hair new york city two men one woman  
Aberdeen ,drama death ferry lawyer norway vomiting  
The Messenger ,drama romance war captain casualty notification casualty notification team sergeant staff sergeant  
Tracker ,action adventure drama western one word title  
Control ,biography drama music band employment agency singer stage fright suicide  
The Terminator ,action sci-fi cyborg future war robot shootout in a police station urban setting  
Good Bye Lenin! ,drama romance coma east germany german democratic republic germany heart attack  
The Damned United ,biography drama sport cup derby county flashback football leeds united  
The Return of the Living Dead ,comedy horror sci-fi crematorium female frontal nudity naked dead woman paramedic poison gas  
Gomorrah ,crime drama thriller nan  
Mallrats ,comedy romance comic ex girlfriend jay and silent bob mall teenager  
Grease ,musical romance automobile racing boyfriend girlfriend relationship high school wrestling year 1959  
Platoon ,drama war 1960s famous score hero vietnam vietnam war  
Fahrenheit 9/11 ,documentary drama war anti war interview iraq paranoia war on terrorism  
Butch Cassidy and the Sundance Kid ,biography crime drama western bolivia gang outlaw posse train  
Mary Poppins ,comedy family fantasy musical banker female protagonist live action and animation magic nanny  
Ordinary People ,drama choir death friend suicide therapy  
West Side Story ,crime drama musical romance thriller dance gang new york city puerto rican tragedy  
Caddyshack ,comedy sport caddy country club golf course gopher nudity  
The Brothers ,comedy drama african american commitment friend friendship playboy  
The Wood ,comedy drama romance flashback friendship public nudity shower wedding  
The Usual Suspects ,crime drama mystery thriller criminal dirty cop flashback limping suspect  
A Nightmare on Elm Street 5: The Dream Child ,fantasy horror romance thriller child comic book dream murderer nightmare  
Van Wilder: Party Liaison ,comedy romance college love party reporter tuition  
The Wrestler ,drama sport heart attack stripper supermarket wrestler wrestling  
Duel in the Sun ,drama romance western box office hit half breed infidelity shooting texas  
Best in Show ,comedy dog show gay gay character gay couple gay interest  
Escape from New York ,action sci-fi 1990s police prison rescue year 1997  
School Daze ,comedy drama musical beauty salon black college college fraternity sorority  
Daddy Day Camp ,comedy family competition estranged father skunk summer camp wall  
Mr. Nice Guy ,action comedy crime chef cook drugs gang reporter  
A Mighty Wind ,comedy music concert mockumentary musician new york city singer  
Mystic Pizza ,comedy drama romance commitment marriage pizza title appears in writing woman wearing only a man's shirt  
War & Peace ,drama history romance war male frontal nudity male nudity tv mini series  
Sliding Doors ,comedy drama fantasy romance alternative reality multiple outcomes parallel time serendipity twist of fate  
Tales from the Hood ,comedy horror thriller child abuse death drugs ku klux klan police brutality  
The Last King of Scotland ,biography drama history thriller 1970s assassination doctor scottish ugandan  
Halloween 5 ,horror thriller cat halloween kitten michael myers psychotronic  
Bernie ,comedy crime drama funeral stockbroker texas vacation widow  
Dolphins and Whales 3D: Tribes of the Ocean ,adventure documentary short 3d in title animal in title digit in title dolphin manatee  
Pollock ,biography drama 1940s artist drinking life magazine painter  
200 Cigarettes ,comedy drama romance bartender friend new year's eve party punk  
The Words ,drama mystery romance thriller american in paris book love novel writer  
Casa de mi Padre ,comedy western absurd humor drug lord mexico ranch spaghetti western  
City Island ,comedy drama anger family reunion father son reunion hugging movie making  
The Guard ,comedy crime thriller boat on fire drug smuggling fbi fbi agent small town  
College ,comedy college face slap high school loss of virginity pierced nipple  
The Virgin Suicides ,drama romance catholic five sisters isolation school suicide  
Little Voice ,comedy drama music romance mother recluse shy singer talent  
Miss March ,comedy romance fellatio hugh hefner oral sex playboy centerfold topless female nudity  
Wish I Was Here ,comedy drama actor dream sequence genius recluse jew religion  
Simply Irresistible ,comedy drama fantasy romance chef female chef love magic restaurant  
Veronica Mars ,crime drama mystery best friend high school private detective sheriff student  
Hedwig and the Angry Inch ,comedy drama music musical band rock band sex change song transsexual  
Only the Strong ,action drama capoeira fight fighting martial arts violence  
Goddess of Love ,drama horror mystery thriller female nudity hallucination sex scene strip club stripper  
Shattered Glass ,drama history fabricated facts journalist stephen glass the new republic writer  
Novocaine ,comedy crime drama thriller dentist drugs murder sex sunflower  
The Business of Strangers ,drama thriller airport businesswoman hotel revenge vegetarian  
The Wild Bunch ,action adventure western friendship honor righteous rage soldier texas  
The Wackness ,comedy drama romance ice cream marijuana new york city summer therapy  
The Great Train Robbery ,adventure crime drama thriller bank gold key safe train  
Morvern Callar ,drama breasts cleavage female rear nudity girl in panties public nudity  
Beastmaster 2: Through the Portal of Time ,action adventure fantasy sci-fi beast beastmaster psychotronic sword and sorcery warrior  
The 5th Quarter ,biography drama sport athletic training football practice funeral gymnasium man crying  
The Flower of Evil ,drama bordeaux election mayor pamphlet political thriller  
The Greatest ,drama romance car crash loss self help group teenage mother title directed by female  
Snow Flower and the Secret Fan ,drama history car hitting pedestrian china fan nineteenth century reversal of fortune  
Come Early Morning ,drama romance church drink knocking on a door love three word title  
Lucky Break ,comedy crime romance escape prison prison escape sadism solitary confinement  
Julia ,drama 1930s female protagonist nazi romantic friendship writer  
"Surfer, Dude ",comedy barefoot endorsement surfboard virtual reality waves  
Lake of Fire ,documentary abortion southern accent title based on the bible trial usa  
11:14 ,comedy crime drama convenience store multiple perspectives murder paramedic van  
Men of War ,action drama thriller cockney accent fight island machismo mercenary  
Don McKay ,drama mystery thriller dead body dead body in a freezer dead body wrapped in carpet person in a car trunk school janitor  
Deadfall ,crime drama thriller police officer police officer killed police officer shot sex scene  
A Shine of Rainbows ,drama family island love new home orphan rainbow  
The Hit List ,action thriller die hard scenario engineer held at gunpoint race against time shot to death  
Emma ,comedy drama romance friendship love triangle matchmaker naivety opposites attract  
Videodrome ,horror mystery sci-fi thriller cyberpunk hallucination illegality snuff film surrealism  
L'auberge espagnole ,comedy drama apartment erasmus language student trip  
Song One ,drama music musician number in title recording sibling  
Winter in Wartime ,drama history war horse nazi occupation resistance movement uncle nephew relationship  
Freaky Deaky ,comedy crime thriller black panties bomb squad car bomb dynamite girl in panties  
The Train ,thriller war art french german painting train  
Trade of Innocents ,drama thriller angkor wat human trafficking sex slavery sex tourism  
The Protector ,action crime drama thriller die hard scenario elephant long take police sydney australia  
Stiff Upper Lips ,comedy class conflict edwardian era england sexual awakening spoof  
The Inbetweeners ,comedy romance black comedy bully friend house practical joke  
Bend It Like Beckham ,comedy drama romance sport hinduism marriage engagement soccer team tradition  
Sunshine State ,drama romance african american business coastline florida real estate  
Crossover ,action sport african american basketball basketball movie critically bashed tv commercial  
Khiladi 786 ,action comedy car crash impersonating a police officer long lost brother marriage bureau suitor  
[Rec] 2 ,horror apartment apartment building blood sample crucifix zombie  
Standing Ovation ,musical dance dream frog philadelphia pennsylvania snake  
The Sting ,comedy crime drama con con man courier long con murder  
Chariots of Fire ,biography drama sport athlete jew missionary olympic games race  
Diary of a Mad Black Woman ,comedy drama romance comic relief diary kiss madea series state flag  
Shine ,biography drama music romance abuse australia concert pianist piano  
Don Jon ,comedy drama romance camera focus on female butt cunnilingus new jersey oral sex reference to facebook  
High Plains Drifter ,mystery western gravestone gunfighter outlaw revenge small town  
Ghost World ,comedy drama art class diner friend graduation high school  
Iris ,biography drama romance alzheimer's disease book love novelist writer  
Galaxina ,comedy sci-fi alien android fem bot female android stars  
The Chorus ,drama music boarding school boy choir school teacher  
Mambo Italiano ,comedy drama gay immigrant italian police police officer  
Wonderland ,crime drama mystery thriller murder police police investigation porn star robbery  
Do the Right Thing ,drama black militant frustration pizza pizza parlor pizzeria  
Harvard Man ,comedy crime drama romance thriller basketball cheerleader college harvard philosophy  
Le Havre ,comedy drama bar container illegal immigrant neighbor shoe shiner  
Irreversible ,crime drama mystery thriller long take male frontal nudity revenge reverse chronology vengeance  
R100 ,comedy drama coma one word title spitting sushi swimming pool  
Rang De Basanti ,comedy drama history romance freedom friend india student urination  
Animals ,drama drug addict drug addiction drug use drugs junkie  
Salvation Boulevard ,action comedy drama thriller cross doused with gasoline pastor security guard shower  
The Ten ,comedy romance death mexico sabbath surgeon ten stories  
A Room for Romeo Brass ,comedy drama betrayal family relationships friendship psychosis stranger  
Headhunters ,crime drama thriller art thief male frontal nudity male nudity male star appears nude painting  
Grabbers ,comedy horror sci-fi thriller bathtub eaten alive ferry boat lobster trap sprinkler system  
Saint Ralph ,comedy drama sport boston marathon coma marathon miracles running  
Miss Julie ,drama romance kissing someone's boot midsummer telling someone to shut up two word title valet  
Somewhere in Time ,drama fantasy romance hotel love love across time time travel time travel romance  
Dum Maaro Dum ,action crime drama thriller airport drugs loss of loved one police title based on song  
Insidious: Chapter 2 ,fantasy horror thriller barricading a door injection in leg police detective supernatural taser  
Saw II ,horror mystery death detective nerve gas serial killer trap  
10 Cloverfield Lane ,drama horror mystery sci-fi thriller alien bunker car crash kidnapping minimal cast  
Jackass: The Movie ,comedy documentary alligator golf japan panda stunt  
Lights Out ,horror based on short film reference to avenged sevenfold reference to slayer switching lights on and off two word title  
Paranormal Activity 3 ,horror animate object imaginary friend reference to macgyver whispering woman wearing only a man's shirt  
Ouija ,fantasy horror death of girlfriend funeral ghost ouija spirit  
A Nightmare on Elm Street 3: Dream Warriors ,action fantasy horror thriller dream freddy krueger killer nightmare springwood ohio  
Instructions Not Included ,comedy drama father daughter relationship  
Paranormal Activity 4 ,horror boy in a bathtub demon laptop computer pulled underwater walking in the dark  
The Robe ,drama history box office hit crucifixion nightmare palestine robe  
The Return of the Pink Panther ,comedy crime mystery clouseau diamond panther pink pink panther  
Freddy's Dead: The Final Nightmare ,comedy fantasy horror thriller dark comedy dream freddy krueger nightmare serial murder  
Monster ,biography crime drama thriller beach female criminal hooker lesbian prostitute  
"20,000 Leagues Under the Sea ",adventure drama family fantasy sci-fi captain expedition sea submarine whale  
Paranormal Activity: The Marked Ones ,fantasy horror thriller apartment blood demonic possession neighbor pentagram  
The Elephant Man ,biography drama curiosity exploitation freak hospital physical deformity  
Dallas Buyers Club ,biography drama drugs fda gay community hiv homophobia  
The Lazarus Effect ,horror sci-fi thriller electrocuted experiment hell serum university  
Memento ,mystery thriller flashback memory murder short term memory telephone  
Oculus ,horror mystery home office mirror released from a mental hospital trauma video camera  
Clerks II ,comedy fast food fast food restaurant new jersey quick stop restaurant  
Billy Elliot ,drama music audition ballet boxing miner miners strike  
The Way Way Back ,comedy drama awkward boy shy kid summer vacation water park  
House Party 2 ,comedy drama music romance college misogyny money new friend party  
The Man from Snowy River ,adventure drama family romance western australia brumby ranch stallion twin  
Doug's 1st Movie ,animation comedy family dance friend monster reference to batman valentine  
The Apostle ,drama church louisiana minister preacher texas  
Mommie Dearest ,biography drama abusive mother adopted daughter borderline personality disorder perfection sadistic cruelty  
Our Idiot Brother ,comedy drama art model farmer jail nude model three sisters  
Race ,biography drama sport 1930s athlete nazi germany olympics track and field  
The Players Club ,comedy drama catfight dominatrix rape spanking stripper  
"As Above, So Below ",horror mystery thriller archeologist catacomb found footage paris france philosopher's stone  
Addicted ,drama thriller adultery attraction lust obsession temptation  
Eve's Bayou ,drama doctor louisiana secret title directed by female witchcraft  
Still Alice ,drama alzheimer's disease bechdel test passed linguistics professor new york city reference to angels in america the play  
The Egyptian ,drama history afterlife egypt pharaoh princess pyramid  
Nighthawks ,action crime thriller bomb new york city partner shooting terrorist  
Friday the 13th Part VIII: Jason Takes Manhattan ,adventure horror cult film friday the thirteenth hockey mask jason voorhees murder spree  
My Big Fat Greek Wedding ,comedy family romance baptism greek greek restaurant prejudice travel agency  
Spring Breakers ,crime drama kissing a dead body repeated dialogue sex in pool spring break twins  
Halloween: The Curse of Michael Myers ,horror thriller halloween michael myers nudity returning character with different actor slasher flick  
Y Tu Mamá También ,adventure comedy drama romance beach cleaning a swimming pool male male kiss mexico on the road  
Shaun of the Dead ,comedy horror british horror pub record collection zombie zombie apocalypse  
The Haunting of Molly Hartley ,drama horror thriller 18th birthday birthday community center resurrection teenager  
Lone Star ,drama mystery father son relationship interracial relationship neo western sheriff texas  
Halloween 4: The Return of Michael Myers ,horror thriller halloween michael myers murder niece october  
April Fool's Day ,horror mystery april fool's day island mansion psycho secret  
Diner ,comedy drama baltimore colts diner marriage salesman wedding  
Lone Wolf McQuade ,action crime drama thriller western drugs martial arts texas texas ranger weapon  
Apollo 18 ,horror mystery sci-fi thriller cosmonaut footprint found footage moon secret mission  
Sunshine Cleaning ,comedy drama business crime scene cleanup private school school sister sister relationship  
No Escape ,action thriller asia fictional country hotel rebellion revolution  
The Beastmaster ,action adventure fantasy breasts critically acclaimed female frontal nudity psychotronic film sword and sorcery  
Solomon and Sheba ,drama history romance war king pharaoh queen queen of sheba tribe  
Fifty Shades of Black ,comedy color in title parody reference to cuba gooding jr reference to netflix written by star  
Not Easily Broken ,drama romance african american protagonist based on novel title spoken by character  
A Farewell to Arms ,drama romance war 1910s ambulance driver italy lake nurse  
The Perfect Match ,comedy romance nan  
Digimon: The Movie ,action adventure animation family sci-fi based on video game box office hit computer digimon internet  
Saved! ,comedy drama christian jewish pastor school virginity  
The Barbarian Invasions ,comedy crime drama mystery romance cancer dying friend money socialist  
Robin and Marian ,adventure drama romance crusades friar robin hood sheriff sheriff of nottingham  
The Forsaken ,horror thriller flashing breasts hitchhiker vampire vampire hunter virus  
Force 10 from Navarone ,action drama war colonel mission partisan spy traitor  
UHF ,comedy drama gambling imagination television television station tv show  
Grandma's Boy ,comedy co worker game tester loss of virginity roommate snack  
Slums of Beverly Hills ,comedy drama flatulence menstrual blood nomad nursing school title directed by female  
Once Upon a Time in the West ,western gang gun harmonica killing woman in bathtub  
Made ,comedy crime drama thriller friendship loudmouth money laundering new york city stripper  
Moon ,drama mystery sci-fi computer contract earth moon solitude  
Keeping Up with the Steins ,comedy bar mitzvah carried in a chair hebrew party rite of passage  
Sea Rex 3D: Journey to a Prehistoric World ,documentary 3d imax plesiosaur sea water  
The Sweet Hereafter ,drama anger bus child lawyer school  
Of Gods and Men ,drama catholic church community monastery monk terrorist  
Bottle Shock ,comedy drama airport california flat tire overalls wine  
Jekyll and Hyde... Together Again ,comedy music sci-fi breasts growing coors light drugs hospital spinning in grave  
Heavenly Creatures ,biography crime drama romance thriller fantasy life friend friendship love teenage crush  
90 Minutes in Heaven ,drama heaven hospital praying pronounced dead recovery  
Everything Must Go ,comedy drama alcoholic beer bicycle new neighbor yard sale  
Zero Effect ,comedy crime drama mystery thriller blackmail client private detective private investigator tycoon  
The Machinist ,drama thriller alienation conscience insomnia paranoia urban gothic  
Light Sleeper ,crime drama bare breasts drugs existentialism new york city redemption  
Kill the Messenger ,biography crime drama mystery thriller based on true story cia cocaine journalist smear campaign  
Rabbit Hole ,drama car comic book comic book artist iphone memory  
Party Monster ,biography crime drama thriller drug dealer drugs gay homosexual party  
Green Room ,crime horror music thriller murder neo nazi punk band skinhead suspense  
The Oh in Ohio ,comedy drama romance marriage orgasm school sex swimming  
Atlas Shrugged: Who Is John Galt? ,drama mystery sci-fi box office flop critically bashed economy individual versus society rescue  
Bottle Rocket ,comedy crime drama caper escapade motel robbery texas  
Albino Alligator ,crime drama thriller bar box office flop hostage new orleans louisiana police  
"Gandhi, My Father ",biography drama history africa hindu india muslim south africa  
Standard Operating Procedure ,crime documentary war abu ghraib abuse prison slow motion torture  
Out of the Blue ,drama explosion hitchhiking punk trauma truck driver  
Tucker and Dale vs Evil ,comedy horror cabin chainsaw college kid hillbilly vacation  
"Lovely, Still ",drama romance christmas fable old man  
Tycoon ,adventure drama romance engineer ethics mountain railroad south america  
Desert Blue ,drama cola desert ice cream cone teenage girl vomiting  
Decoys ,comedy horror sci-fi breasts campus college tentacle virginity  
The Visit ,horror thriller farm handheld camera impostor rap rock paper scissors  
Redacted ,crime thriller war blood splatter iraq murder rape soldier  
Fascination ,mystery romance thriller death love marriage secret suspicion  
Saving Grace ,drama fantasy catholic death row inmate oklahoma city sexual promiscuity  
Area 51 ,horror sci-fi thriller alien alien abduction conspiracy secret base ufo  
Sleep Tight ,drama horror thriller apartment concierge girl hitchcockian stalking  
The Cottage ,comedy crime horror thriller countryside deformed farmer gangster kidnapping  
Dead Like Me: Life After Death ,comedy drama fantasy african american policeman police policeman policewoman vomiting  
Farce of the Penguins ,animation comedy flatulence march penguin south pole spoof  
Flying By ,drama family music nan  
Psych ,comedy crime mystery best friend friend police police department psychic  
Rudderless ,comedy drama music demo tape directed by cast member grieving father guitar guitar player  
Henry & Me ,animation family bare butt baseball children new york yankees surrealism  
Christmas Eve ,comedy nan  
We Have Your Husband ,crime drama thriller abduction based on true story mexico  
Dying of the Light ,drama thriller cia individualism mental illness religion revenge  
Born of War ,action drama thriller war fight mina murder revenge terrorist  
Capricorn One ,action sci-fi thriller astronaut hoax journalist mission nasa  
Should've Been Romeo ,comedy drama nan  
Running Forever ,family nan  
Yoga Hosers ,comedy fantasy horror thriller part of trilogy second part  
Navy Seals vs. Zombies ,action horror building infection navy seal shot through the head zombie  
I Served the King of England ,comedy drama romance war hotel legs lingerie waiter wealth  
Soul Kitchen ,comedy drama 2000s burglar chef cook restaurant  
Sling Blade ,drama friend mental institution murder repair shop small town  
The Awakening ,horror thriller boarding school boy british horror ghost school  
Hostel ,horror bratislava hostel sadistic horror torture travel  
Tristram Shandy: A Cock and Bull Story ,comedy drama actor playing himself battle boots penis womb  
Take Shelter ,drama thriller ambiguous ending firefly mysterious event schizophrenia storm  
Lady in White ,fantasy horror mystery thriller 1960s boy ghost murder small town  
Driving Lessons ,comedy drama actress coming of age retired actress teenage boy vomiting  
Let's Kill Ward's Wife ,comedy crime apology death group of friends sex toilet  
The Texas Chainsaw Massacre 2 ,comedy horror chainsaw chainsaw murder human monster music score composed by director obscene finger gesture  
Pat Garrett & Billy the Kid ,biography drama romance western bare breasts flogging human branding man slaps a woman manhunt  
Only God Forgives ,crime drama brutal cop drug dealer punishment thai boxing vengeance  
Camping sauvage ,drama cabin girl fight jealousy sailing boat tent  
Without Men ,comedy bare chested male journalist passion pregnancy woman in underwear  
Barfi ,comedy romance nan  
Dear Frankie ,drama romance boy dock letter seaside stranger  
All Hat ,western contemporary west cowboy horse jockey neo western  
The Names of Love ,comedy drama romance activist promiscuous daughter promiscuous woman sex in a bed voyeurism  
Treading Water ,comedy drama nan  
Savage Grace ,drama incest male nudity older man younger woman relationship orgasm son murders mother  
Out of the Blue ,crime drama true crime  
Police Academy ,comedy misfit police police academy police cadet police officer  
The Blue Lagoon ,adventure drama romance coming of age island poison teenage boy teenage girl  
Four Weddings and a Funeral ,comedy drama romance 1990s chick flick funeral gay relationship wedding  
Fast Times at Ridgemont High ,comedy drama break up california high school surfer teacher  
Moby Dick ,adventure drama obsession revenge ship whale whaling  
25th Hour ,drama bar dream drug dealing nightclub widower  
Secrets and Lies ,crime drama nan  
Bound ,crime drama romance thriller gangster lesbian mafia money neo noir  
Requiem for a Dream ,drama addiction diet pill drug addiction fast motion scene heroin  
State Fair ,musical romance fair farm iowa newspaper state fair  
Tango ,drama musical dancer director love musical filmmaking tango  
Salvador ,drama history thriller war 1980s el salvador political thriller reagan administration war journalism  
